"R.native","Desc","Bytestring","status","OriginalOrder"
"👩🏿‍❤‍💋‍👩🏽","Kiss:_Woman,_Woman,_Dark_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FD","minimally-qualified",3412
"👩🏿‍❤‍💋‍👩🏼","Kiss:_Woman,_Woman,_Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FC","minimally-qualified",3410
"👩🏿‍❤‍💋‍👩🏻","Kiss:_Woman,_Woman,_Dark_Skin_Tone,_Light_Skin_Tone","1F469 1F3FF 200D 2764 200D 1F48B 200D 1F469 1F3FB","minimally-qualified",3408
"👩🏾‍❤‍💋‍👩🏿","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FF","minimally-qualified",3406
"👩🏾‍❤‍💋‍👩🏾","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone","1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FE","minimally-qualified",3404
"👩🏾‍❤‍💋‍👩🏽","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FD","minimally-qualified",3402
"👩🏾‍❤‍💋‍👩🏼","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FC","minimally-qualified",3400
"👩🏾‍❤‍💋‍👩🏻","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone,_Light_Skin_Tone","1F469 1F3FE 200D 2764 200D 1F48B 200D 1F469 1F3FB","minimally-qualified",3398
"👩🏽‍❤‍💋‍👩🏿","Kiss:_Woman,_Woman,_Medium_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FF","minimally-qualified",3396
"👩🏽‍❤‍💋‍👩🏾","Kiss:_Woman,_Woman,_Medium_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FE","minimally-qualified",3394
"👩🏽‍❤‍💋‍👩🏽","Kiss:_Woman,_Woman,_Medium_Skin_Tone","1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FD","minimally-qualified",3392
"👩🏽‍❤‍💋‍👩🏼","Kiss:_Woman,_Woman,_Medium_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FC","minimally-qualified",3390
"👩🏽‍❤‍💋‍👩🏻","Kiss:_Woman,_Woman,_Medium_Skin_Tone,_Light_Skin_Tone","1F469 1F3FD 200D 2764 200D 1F48B 200D 1F469 1F3FB","minimally-qualified",3388
"👩🏼‍❤‍💋‍👩🏿","Kiss:_Woman,_Woman,_Medium-Light_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FF","minimally-qualified",3386
"👩🏼‍❤‍💋‍👩🏾","Kiss:_Woman,_Woman,_Medium-Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FE","minimally-qualified",3384
"👩🏼‍❤‍💋‍👩🏽","Kiss:_Woman,_Woman,_Medium-Light_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FD","minimally-qualified",3382
"👩🏼‍❤‍💋‍👩🏼","Kiss:_Woman,_Woman,_Medium-Light_Skin_Tone","1F469 1F3FC 200D 2764 200D 1F48B 200D 1F469 1F3FC","minimally-qualified",3380
